Label	Weight	Text
l_IssueReporting	1	i have a problem in my windows
l_IssueReporting	1	i want to submit an issue
l_IssueReporting	1	i have an issue with my laptop
l_IssueReporting	1	any new update on my issues
l_IssueReporting	1	i want to track isuue
l_IssueReporting	1	i want to follow up on my case
l_IssueReporting	1	i want to open a case
l_IssueReporting	1	check for updates on issue
l_IssueReporting	1	i need to report a problem
l_IssueReporting	1	i want to check my previous issue
l_ProductOrdering	1	i want to track my order
l_ProductOrdering	1	i want to purchase an office license
l_ProductOrdering	1	i want to buy new items
l_ProductOrdering	1	any updates on my order
l_ProductOrdering	1	i want to buy a new laptop
l_ProductOrdering	1	what is the delivery date of my order
l_ProductOrdering	1	follow up on my order
l_ProductOrdering	1	when i will receive my order
q_ms_faq	1	You're not plotting to kill all humans right
q_ms_faq	1	I think you're not actually a human
q_ms_faq	1	Your sense of humor is lame
q_ms_faq	1	Sorry sorry
q_ms_faq	1	That's legit
q_ms_faq	1	I'm going to skedaddle now
q_ms_faq	1	I'm cleverest
q_ms_faq	1	You're like a Ted Talk from the color Beige
q_ms_faq	1	I'm gonna take off now
q_ms_faq	1	Is someone there to speak to me
q_ms_faq	1	I hate feeling downcast
q_ms_faq	1	What's your favorite song
q_ms_faq	1	I hate feeling melancholy
q_ms_faq	1	When will I ever stop feeling so depressed
q_ms_faq	1	I love chicken
q_ms_faq	1	Who's your master
q_ms_faq	1	I'm about to take off now
q_ms_faq	1	Can you scratch my back
q_ms_faq	1	I'm planning to end my life this week
q_ms_faq	1	I've already heard that one
q_ms_faq	1	I've never been so annoyed in all my life
q_ms_faq	1	I wasn't expecting you to say that
q_ms_faq	1	Fair
q_ms_faq	1	You got beat by the ugly stick
q_ms_faq	1	You're on the ball.
q_ms_faq	1	Are you able to fall in love
q_ms_faq	1	Is someone free to listen
q_ms_faq	1	You're pretty boring
q_ms_faq	1	How cool
q_ms_faq	1	Being dead would be a relief
q_ms_faq	1	It's been a long day and I'm tired
q_ms_faq	1	I am a journalist
q_ms_faq	1	I'm so hungry
q_ms_faq	1	I think I'm in love with you
q_ms_faq	1	Should I travel
q_ms_faq	1	I'll be back after my shift
q_ms_faq	1	I like to read fiction
